objectid,filename,title,type,format,youtubeid,datepicturetaken,date,creator,description,subject,for,event,fabric,skirtlength,sleevelength,color,pattern,complete,dimensions
ruthkramerweddingsuit,ruthkramerweddingsuit.jpg,one,Woman's Suit,image/jpeg,,1963-01-12,1962,,"Suit Ruth Kramer wore to her elopement with Bill Kramer.  Ruth did not make the suit specifically for the wedding, but had recently completed the suit when she and her then fiancé decided to elope.  Featured: Bill Kramer",Suit; Wedding; Charcoal; Gray; 1963; 1960's,Ruth Kramer,Wedding,,Knee,Long,Charcoal Gray,Solid,Yes,
martisuddarthweddingdresswithdanielsuddarth,martisuddarthweddingdresswithdanielsuddarth.jpg,two,Wedding Dress,image/jpeg,,1985-01-12,1984,,"Wedding dress for Ruth Kramer's oldest daughter, Marti Suddarth.  The dress features a long train, buttons down the back, and sheer sleeves.  Featured: Daniel Suddarth",Wedding; Wedding Dress; Gown; Train; White; 1985; 1980's; Round Neckline; Sheer Sleeves; long-sleeved,Marti Kramer Suddarth,Wedding,,Full,Long,White,Solid,Yes,
martisuddarthweddingdressalone,martisuddarthweddingdressalone.jpg,three,Wedding Dress,image/jpeg,,1985-01-12,1984,,"Wedding dress for Ruth Kramer's oldest daughter, Marti Suddarth.  The dress features a long train, buttons down the back, and sheer sleeves.",Wedding; Wedding Dress; Gown; Train; White; 1985; 1980's; Round Neckline; Sheer Sleeves; long-sleeved,Marti Kramer Suddarth,Wedding,,Full,Long,White,Solid,Yes,
emilyeberhardtweddingbridesmaidandusherdresses,emilyeberhardtweddingbridesmaidandusherdresses.jpg,four,Bridesmaid Dress,image/jpeg,,1988-11-19,1988,,"Usher dress, bridesmaid dress, and maternity bridesmaid dress Ruth Kramer sewed for her daughters Alice Doane, Nancy Kramer, and Marti Suddarth at her second daughter's wedding.  The usher dress is a dark velvet with puffed sleeves.  The bridesmaid dress is a purple taffeta with a natural waist and puff sleeves.  The maternity bridesmaid dress has a similar design with a raised waistline to accommodate Marti Suddath's pregnancy.",Bridesmaid; Purple; Taffeta; Maternity; Velvet; 1988; 1980's,Marti Kramer Suddarth,Wedding,Taffeta,Full,Long,Purple,Solid,Yes,
emilyeberhardtweddingdress,emilyeberhardtweddingdress.jpg,five,Wedding Dress,image/jpeg,,1988-11-19,1988,,"Tea-length, white, lacy wedding dress with long-sleeved, puffed shoulders, and a square neckline.",Wedding; Wedding Dress; Gown; Tea-Length; White; 1988; 1980's; Square Neckline; Puffed Sleeves; long-sleeved,Emily Eberhardt,Wedding,Lace,Tea,Long,White,Solid,Yes,
emilyeberhardtweddingmartisuddarthmaternitybridesmaiddress,emilyeberhardtweddingmartisuddarthmaternitybridesmaiddress.jpg,six,Bridesmaid Dress,image/jpeg,,1988-11-19,1988,,"Maternity bridesmaid dress Ruth Kramer sewed for her daughter, Marti Suddarth, for her daughter Emily Eberhardt's wedding.  The purple taffeta dress features a raised waistline, a v-neckline, and puffed sleeves.  Featured: Daniel Suddarth and Kate Suddarth",Bridesmaid; Purple; Taffeta; Maternity; 1988; 1980's,"Alice Doane, Nancy Kramer, Marti Suddarth",Wedding,Taffeta,Full,Long,Purple,Solid,Yes,
blackandwhitebag,blackandwhitebag.jpg,seven,Bag,image/jpeg,,2022-11-08,,Abigail Suddarth,"Black and white, cylinder-shaped bag with a white block with the word ""Love"" written on it, a heart stitched beneath ""Love,"" and two small, red, heart-shaped buttons on the front.",Bag; Cylinder; Black and White; Love; Hearts,Ruth Kramer,,,,,Black and White,Hearts,Yes,
bluecrisscrossbackdresslarger,bluecrisscrossbackdresslarger.jpg,eight,Child's Dress,image/jpeg,,2022-11-08,2008,Abigail Suddarth,"Sleeveless, blue sundress with white ribbon crisscrossing the back and tying in the front, and a design of dolls standing at the hem.  The larger of the two sundresses.  Front of dress.",Children's; Sundress; Blue; Matching; Sleeveless; Calf-Length; Criss-Cross; Bow; Dolls; Hem; Back,,,,Calf,Sleeveless,Light Blue,Solid,Yes,"29"""
bluecrisscrossbackdresslargerback,bluecrisscrossbackdresslargerback.jpg,nine,Child's Dress,image/jpeg,,2022-11-08,2008,Abigail Suddarth,"Sleeveless, blue sundress with white ribbon crisscrossing the back and tying in the front, and a design of dolls standing at the hem.  The larger of the two sundresses.  Back of dress.",Children's; Sundress; Blue; Matching; Sleeveless; Calf-Length; Criss-Cross; Bow; Dolls; Hem; Back,,,,Calf,Sleeveless,Light Blue,Solid,Yes,"29"""
bluecrisscrossbackdresses,bluecrisscrossbackdresses.jpg,ten,Child's Dress,image/jpeg,,2022-11-08,2008,Abigail Suddarth,"Matching sleeveless, blue sundress with white ribbon crisscrossing the back and tying in the front, and a design of dolls standing at the hem.  Fronts of dresses.",Children's; Sundress; Blue; Matching; Sleeveless; Calf-Length; Criss-Cross; Bow; Dolls; Hem; Back,,,,Calf,Sleeveless,Light Blue,Solid,Yes,"26"" and 29"""
bluecrisscrossbackdressesback,bluecrisscrossbackdressesback.jpg,eleven,Child's Dress,image/jpeg,,2022-11-08,2008,Abigail Suddarth,"Matching sleeveless, blue sundress with white ribbon crisscrossing the back and tying in the front, and a design of dolls standing at the hem.  Backs of dresses.",Children's; Sundress; Blue; Matching; Sleeveless; Calf-Length; Criss-Cross; Bow; Dolls; Hem; Back,,,,Calf,Sleeveless,Light Blue,Solid,Yes,"26"" and 29"""
browndress,browndress.jpg,twelve,Child's Dress,image/jpeg,,2022-11-08,,Abigail Suddarth,"Long-sleeved, brown dress with small floral pattern.",Children's; Long-Sleeved; Brown; Floral; Collar; Peter Pan Collar; Tea-Length; Calf-Length,Children of Ruth Kramer,,,Knee,Long,Brown,Floral,Yes,"32"""
