objectid,filename,youtubeid,title,creator,date,description,subject,type,format,for,event,fabric,skirtlength,sleevelength,color,pattern,complete,dimensions
1_12_1963_ruth_kramer_wedding_suit,1_12_1963_ruth_kramer_wedding_suit.jpg,,Ruth Kramer Wedding Suit,,1962,"Suit Ruth Kramer wore to her elopement with Bill Kramer on January 12, 1963. Ruth did not make the suit specifically for the wedding, but had recently completed the suit when she and her then fiancé decided to elope. Featured: Bill Kramer",Suit; Wedding; Charcoal; Gray; 1963; 1960's; January; Winter,Woman's Suit,image/jpeg,Ruth Kramer,Wedding,,Knee,Long,Charcoal Gray,Solid,Yes,
1_12_1985_geri_armstrong_maternity_bridesmaid_dress,1_12_1985_geri_armstrong_maternity_bridesmaid_dress.jpg,,Suddarth Wedding Geri Armstrong Materity Bridesmaid Dress,Straub Photography,1985,Maternity bridesmaid dress Ruth Kramer sewed for Geri Armstrong for her daughter Marti Suddarth's wedding. The red dress features a  round neckline and puffed sleeves.,Long-sleeved; Red; Bridesmaid; Wedding; Bridesmaid Dress; Maternity; January; Winter; 1985; 1980's,Bridesmaid Dress,image/jpeg,Geri Armstrong,Wedding,Satin,Full,Long,Red,Solid,Yes,
1_12_1985_marti_suddarth_wedding_dress_1,1_12_1985_marti_suddarth_wedding_dress_1.jpg,,Marti Suddarth Wedding Dress,Straub Photography,1984,"Wedding dress for Ruth Kramer's oldest daughter, Marti Suddarth. The dress features a long train, buttons down the back, and sheer sleeves. Featured: Daniel Suddarth",Wedding; Wedding Dress; Gown; Train; White; 1985; 1980's; Round Neckline; Sheer Sleeves; long-sleeved; January; Winter,Wedding Dress,image/jpeg,Marti Kramer Suddarth,Wedding,Satin,Full,Long,White,Solid,Yes,
1_12_1985_marti_suddarth_wedding_dress_2,1_12_1985_marti_suddarth_wedding_dress_2.jpg,,Marti Suddarth Wedding Dress,Straub Photography,1984,"Wedding dress for Ruth Kramer's oldest daughter, Marti Suddarth. The dress features a long train, buttons down the back, and sheer sleeves.",Wedding; Wedding Dress; Gown; Train; White; 1985; 1980's; Round Neckline; Sheer Sleeves; long-sleeved; January; Winter,Wedding Dress,image/jpeg,Marti Kramer Suddarth,Wedding,Satin,Full,Long,White,Solid,Yes,
11_19_1988_emily_eberhardt_wedding_bridesmaid_and_usher_dresses,11_19_1988_emily_eberhardt_wedding_bridesmaid_and_usher_dresses.jpg,,"Alice Doane, Nancy Kramer, and Marti Suddarth Bridesmaid Dresses",,1988,"Usher dress, bridesmaid dress, and maternity bridesmaid dress Ruth Kramer sewed for her daughters Alice Doane, Nancy Kramer, and Marti Suddarth at her second daughter's wedding. The usher dress is a dark velvet with puffed sleeves. The bridesmaid dress is a purple taffeta with a natural waist and puff sleeves. The maternity bridesmaid dress has a similar design with a raised waistline to accommodate Marti Suddath's pregnancy.",Bridesmaid; Purple; Taffeta; Maternity; Velvet; 1988; 1980's; November; Autumn,Bridesmaid Dress,image/jpeg,Marti Kramer Suddarth,Wedding,Taffeta,Full,Long,Purple,Solid,Yes,
11_19_1988_emily_eberhardt_wedding_dress,11_19_1988_emily_eberhardt_wedding_dress.jpg,,Emily Eberhardt Wedding Dress,,1988,"Tea-length, white, lacy wedding dress with long-sleeved, puffed shoulders, and a square neckline.",Wedding; Wedding Dress; Gown; Tea-Length; White; 1988; 1980's; Square Neckline; Puffed Sleeves; long-sleeved; November; Autumn,Wedding Dress,image/jpeg,Emily Eberhardt,Wedding,Lace,Tea,Long,White,Solid,Yes,
11_19_1988_emily_eberhardt_wedding_marti_suddarth_maternity_bridesmaid_dress,11_19_1988_emily_eberhardt_wedding_marti_suddarth_maternity_bridesmaid_dress.jpg,,Marti Suddarth Maternity Bridesmaid Dress,,1988,"Maternity bridesmaid dress Ruth Kramer sewed for her daughter, Marti Suddarth, for her daughter Emily Eberhardt's wedding. The purple taffeta dress features a raised waistline, a v-neckline, and puffed sleeves. Featured: Daniel Suddarth and Kate Suddarth",Bridesmaid; Purple; Taffeta; Maternity; 1988; 1980's; November; Autumn,Bridesmaid Dress,image/jpeg,"Alice Doane, Nancy Kramer, Marti Suddarth",Wedding,Taffeta,Full,Long,Purple,Solid,Yes,
black_and_white_bag_1,black_and_white_bag_1.jpg,,Black and White Bag,Abigail Suddarth,,"Black and white, cylinder-shaped bag with a white block with the word ""Love"" written on it, a heart stitched beneath ""Love,"" and two small, red, heart-shaped buttons on the front.",Bag; Cylinder; Black and White; Love; Hearts,Bag,image/jpeg,Ruth Kramer,,Quilting Cotton,,,Black and White,Hearts,Yes,
blue_criss_cross_back_dress_larger_1,blue_criss_cross_back_dress_larger_1.jpg,,Blue Criss-Cross-Back Dress,Abigail Suddarth,2008,"Sleeveless, blue sundress with white ribbon crisscrossing the back and tying in the front, and a design of dolls standing at the hem. The larger of the two sundresses. Front of dress.",Children's; Sundress; Blue; Matching; Sleeveless; Calf-Length; Criss-Cross; Bow; Dolls; Hem; Back; Spring; Summer,Children's Clothes,image/jpeg,,,Cotton,Calf,Sleeveless,Light Blue,Solid,Yes,"29"""
blue_criss_cross_back_dress_larger_back,blue_criss_cross_back_dress_larger_back.jpg,,Blue Criss-Cross-Back Dress,Abigail Suddarth,2008,"Sleeveless, blue sundress with white ribbon crisscrossing the back and tying in the front, and a design of dolls standing at the hem. The larger of the two sundresses. Back of dress.",Children's; Sundress; Blue; Matching; Sleeveless; Calf-Length; Criss-Cross; Bow; Dolls; Hem; Back; Spring; Summer,Children's Clothes,image/jpeg,,,Cotton,Calf,Sleeveless,Light Blue,Solid,Yes,"29"""
